"Timestamp","Name","Sensor value"
"08/13/2019 - 16:26","base_altitutde","35.2374"
"08/13/2019 - 16:26","temp","31.53"
"08/13/2019 - 16:26","pressure","1031.92"
"08/13/2019 - 16:26","depth","0.19"
"08/13/2019 - 16:26","base_temp","24.8988"
"08/13/2019 - 16:26","batt","3.52881"
"08/13/2019 - 16:26","height","0.222846"
"08/13/2019 - 16:26","base_humid","77.4706"
"08/13/2019 - 16:27","base_pressure","1008.96"
"08/13/2019 - 16:27","base_altitutde","35.6284"
"08/13/2019 - 16:27","temp","31.51"
"08/13/2019 - 16:27","pressure","1031.88"
"08/13/2019 - 16:27","depth","0.19"
"08/13/2019 - 16:27","base_temp","24.8633"
"08/13/2019 - 16:27","batt","3.52881"
"08/13/2019 - 16:27","height","0.223141"
"08/13/2019 - 16:27","base_humid","78.3387"
"08/13/2019 - 16:29","base_pressure","1008.99"
"08/13/2019 - 16:29","base_altitutde","35.4065"
"08/13/2019 - 16:29","temp","31.49"
"08/13/2019 - 16:29","pressure","1031.93"
"08/13/2019 - 16:29","depth","0.19"
"08/13/2019 - 16:29","base_temp","24.8379"
"08/13/2019 - 16:29","batt","3.52881"
"08/13/2019 - 16:29","height","0.223417"
"08/13/2019 - 16:29","base_humid","78.0935"
"08/13/2019 - 16:31","base_pressure","1009.01"
"08/13/2019 - 16:31","base_altitutde","35.1951"
"08/13/2019 - 16:31","temp","31.47"
"08/13/2019 - 16:31","pressure","1031.95"
"08/13/2019 - 16:31","depth","0.19"
"08/13/2019 - 16:31","base_temp","24.843"
"08/13/2019 - 16:31","batt","3.52881"
"08/13/2019 - 16:31","height","0.223383"
"08/13/2019 - 16:31","base_humid","77.9321"
"08/13/2019 - 16:32","base_pressure","1009.09"
